trip_id,pickup_location,drop_location,trip_status,vehicle_type,driver_rating,promo_code_used,wait_time_before_pickup,distance_travelled,fare_amount,passenger_rating,total_passenger,payment_method,duration_time,date,customer_id,passenger_type
TRIP100000,Banani,Gulshan,Cancelled,Car,3.8,No,7,19.3,634.94,4.6,1,Cash,83,2024-03-11,CUST1587,Repeated
TRIP100001,Motijheel,Mohammadpur,No-show,Bike,4.5,No,1,4.54,95.85,4.5,2,Mobile Payment,39,2024-01-30,CUST1008,Repeated
TRIP100002,Motijheel,Uttara,Completed,Car,3.2,No,12,4.89,854.88,3.8,1,Card,39,2024-05-28,CUST1224,Repeated
TRIP100003,Gulshan,Farmgate,Completed,CNG,4.4,No,12,22.45,594.75,3.9,1,Mobile Payment,61,2024-03-16,CUST1194,Repeated
TRIP100004,Mirpur,Mirpur,Completed,Bike,3.8,Yes,8,23.29,336.16,4.3,2,Cash,87,2024-02-08,CUST1588,Repeated
TRIP100005,Banani,Gulshan,Completed,Bike,3.5,Yes,11,4.74,451.16,3.1,1,Card,71,2024-01-25,CUST1009,Repeated
TRIP100006,Dhanmondi,Farmgate,Cancelled,Car,3.8,No,2,15.74,239.03,4.6,1,Cash,51,2024-01-18,CUST1007,Repeated
TRIP100007,Farmgate,Motijheel,Completed,Car,3.8,No,8,4.21,66.89,3.5,4,Cash,35,2024-05-06,CUST1353,New
TRIP100008,Gulshan,Mirpur,Completed,Car,4.5,No,17,20.27,693.9,4.4,1,Card,85,2024-05-25,CUST1064,Repeated
TRIP100009,Mirpur,Uttara,Completed,Microbus,3.9,No,13,4.49,74.11,4.1,3,Card,46,2024-03-17,CUST1440,Repeated
TRIP100010,Gulshan,Banani,Completed,Bike,4.3,No,11,11.39,277.37,4.4,1,Cash,60,2024-03-21,CUST1122,Repeated
TRIP100011,Motijheel,Mirpur,Completed,CNG,3.5,Yes,1,24.58,902.73,4.0,2,Card,84,2024-05-09,CUST1452,Repeated
TRIP100012,Uttara,Motijheel,Completed,Car,3.0,Yes,5,4.44,796.79,3.8,1,Card,41,2024-05-04,CUST1189,Repeated
TRIP100013,Farmgate,Uttara,Completed,Bike,3.9,No,5,15.96,154.88,3.7,1,Card,20,2024-06-11,CUST1040,Repeated
TRIP100014,Dhanmondi,Gulshan,Completed,CNG,4.0,No,14,9.34,403.82,4.9,2,Cash,67,2024-02-06,CUST1332,Repeated
TRIP100015,Uttara,Motijheel,Completed,CNG,3.7,Yes,3,17.26,611.8,3.6,2,Mobile Payment,75,2024-03-10,CUST1521,Repeated
TRIP100016,Bashundhara,Gulshan,Completed,Bike,3.2,Yes,5,18.68,587.59,3.2,1,Card,5,2024-06-11,CUST1619,Repeated
TRIP100017,Bashundhara,Bashundhara,Cancelled,Bike,5.0,Yes,6,14.28,441.56,3.4,4,Card,84,2024-04-03,CUST1617,Repeated
TRIP100018,Dhanmondi,Uttara,Completed,CNG,3.4,No,19,6.71,458.1,4.6,1,Card,9,2024-04-20,CUST1064,Repeated
TRIP100019,Motijheel,Uttara,Completed,Bike,4.9,Yes,17,12.46,240.1,3.7,1,Card,64,2024-01-08,CUST1319,Repeated
TRIP100020,Gulshan,Mirpur,Completed,Car,3.9,No,11,22.51,982.63,4.7,1,Mobile Payment,18,2024-02-29,CUST1157,Repeated
TRIP100021,Banani,Bashundhara,Completed,Car,3.3,No,3,2.07,292.24,4.4,1,Card,13,2024-05-22,CUST1127,New
TRIP100022,Bashundhara,Gulshan,Completed,CNG,3.5,No,7,9.16,892.11,3.3,3,Cash,5,2024-01-06,CUST1631,Repeated
TRIP100023,Uttara,Mirpur,Cancelled,Microbus,4.3,Yes,9,21.34,681.79,4.4,1,Mobile Payment,51,2024-05-01,CUST1624,Repeated
TRIP100024,Banani,Uttara,Completed,Microbus,5.0,No,18,4.06,866.91,3.8,4,Mobile Payment,57,2024-01-20,CUST1385,New
TRIP100025,Uttara,Motijheel,Completed,Bike,3.8,No,15,22.97,625.63,3.7,1,Card,57,2024-06-30,CUST1035,Repeated
TRIP100026,Motijheel,Bashundhara,Cancelled,Bike,3.5,No,14,23.55,793.25,4.5,2,Card,63,2024-06-29,CUST1117,Repeated
TRIP100027,Farmgate,Gulshan,Completed,Microbus,3.4,No,4,18.73,569.83,4.1,1,Card,45,2024-06-30,CUST1396,Repeated
TRIP100028,Motijheel,Mohammadpur,Completed,Microbus,4.0,No,13,24.26,793.85,4.8,1,Mobile Payment,9,2024-03-24,CUST1421,Repeated
TRIP100029,Banani,Mohammadpur,Completed,Car,4.6,No,6,14.13,616.92,3.1,1,Card,69,2024-05-24,CUST1233,New
TRIP100030,Gulshan,Farmgate,Cancelled,Bike,4.4,No,5,17.44,909.01,3.6,1,Cash,14,2024-03-01,CUST1557,New
TRIP100031,Uttara,Gulshan,Completed,Bike,3.6,No,15,4.17,182.0,3.4,1,Cash,10,2024-04-16,CUST1219,Repeated
TRIP100032,Mohammadpur,Farmgate,Completed,Microbus,3.9,No,9,21.01,210.29,3.8,1,Mobile Payment,37,2024-02-07,CUST1183,Repeated
TRIP100033,Mohammadpur,Gulshan,Completed,Car,3.9,Yes,17,5.39,108.41,4.0,3,Cash,73,2024-03-20,CUST1002,Repeated
TRIP100034,Mohammadpur,Motijheel,Completed,Bike,3.7,No,8,4.45,528.4,3.0,2,Mobile Payment,22,2024-01-25,CUST1123,Repeated
TRIP100035,Farmgate,Dhanmondi,Completed,Car,4.1,No,19,22.14,591.42,4.2,2,Mobile Payment,24,2024-01-17,CUST1604,Repeated
TRIP100036,Motijheel,Mirpur,Completed,Bike,3.9,No,6,12.64,626.49,3.3,3,Card,84,2024-03-09,CUST1008,Repeated
TRIP100037,Mirpur,Bashundhara,Completed,Car,3.6,Yes,8,11.9,506.72,4.5,1,Mobile Payment,77,2024-02-01,CUST1279,Repeated
TRIP100038,Mohammadpur,Banani,Completed,Car,4.7,Yes,5,8.38,499.34,3.7,1,Mobile Payment,28,2024-05-16,CUST1693,Repeated
TRIP100039,Banani,Motijheel,Completed,Car,4.6,Yes,15,14.73,636.0,3.5,1,Mobile Payment,42,2024-02-01,CUST1340,New
TRIP100040,Mohammadpur,Banani,Completed,Microbus,4.1,No,17,2.55,154.48,4.0,1,Card,7,2024-05-16,CUST1562,Repeated
TRIP100041,Mohammadpur,Banani,Completed,Car,3.5,No,8,22.88,870.09,4.9,1,Card,61,2024-06-25,CUST1205,Repeated
TRIP100042,Mohammadpur,Gulshan,Completed,Microbus,4.8,No,9,19.9,985.51,3.1,1,Mobile Payment,37,2024-02-24,CUST1121,Repeated
TRIP100043,Uttara,Uttara,Cancelled,Car,3.6,No,18,18.96,760.17,3.4,3,Cash,24,2024-05-07,CUST1559,Repeated
TRIP100044,Dhanmondi,Gulshan,Completed,CNG,3.9,No,17,5.95,937.14,4.8,1,Cash,46,2024-02-25,CUST1483,Repeated
TRIP100045,Farmgate,Gulshan,Completed,Car,3.2,No,10,3.68,718.49,3.5,2,Mobile Payment,76,2024-05-31,CUST1654,Repeated
TRIP100046,Mohammadpur,Bashundhara,Completed,Bike,3.4,No,19,1.37,886.57,3.3,2,Mobile Payment,71,2024-02-29,CUST1378,Repeated
TRIP100047,Farmgate,Bashundhara,Completed,Car,4.6,No,17,10.11,960.69,5.0,2,Card,54,2024-06-25,CUST1150,New
TRIP100048,Mirpur,Bashundhara,Cancelled,CNG,3.9,No,4,9.97,733.58,3.1,1,Card,18,2024-04-22,CUST1625,Repeated
TRIP100049,Motijheel,Mohammadpur,Completed,CNG,4.6,No,1,2.12,891.38,4.9,4,Card,48,2024-06-13,CUST1521,Repeated
TRIP100050,Farmgate,Mohammadpur,Completed,Bike,4.0,Yes,12,3.84,938.29,3.5,2,Mobile Payment,81,2024-05-24,CUST1677,New
TRIP100051,Mirpur,Mirpur,No-show,Microbus,4.9,Yes,12,14.65,61.61,3.9,2,Cash,23,2024-01-09,CUST1668,New
TRIP100052,Banani,Gulshan,No-show,Bike,4.8,No,6,9.05,565.76,4.3,2,Mobile Payment,18,2024-03-26,CUST1632,New
TRIP100053,Gulshan,Farmgate,Completed,Microbus,4.8,No,5,4.82,937.63,3.8,3,Card,34,2024-06-29,CUST1197,New
TRIP100054,Bashundhara,Uttara,Completed,CNG,3.0,Yes,17,16.86,104.44,4.9,1,Mobile Payment,62,2024-04-29,CUST1263,Repeated
TRIP100055,Mirpur,Motijheel,Completed,Bike,3.5,No,6,11.89,690.42,4.5,1,Mobile Payment,12,2024-04-27,CUST1627,Repeated
TRIP100056,Dhanmondi,Farmgate,Completed,Microbus,4.3,No,9,8.83,317.08,3.9,2,Mobile Payment,77,2024-03-30,CUST1323,Repeated
TRIP100057,Gulshan,Motijheel,Completed,Car,3.1,Yes,8,20.35,479.79,5.0,1,Mobile Payment,10,2024-03-26,CUST1458,New
TRIP100058,Motijheel,Gulshan,Cancelled,CNG,3.7,No,6,18.58,911.14,4.4,2,Card,29,2024-05-02,CUST1475,Repeated
TRIP100059,Mirpur,Dhanmondi,Completed,Bike,3.6,Yes,10,11.41,169.05,4.2,1,Cash,44,2024-06-22,CUST1238,New
TRIP100060,Banani,Farmgate,Completed,Microbus,4.8,Yes,11,19.81,317.56,4.9,1,Mobile Payment,15,2024-01-01,CUST1244,Repeated
TRIP100061,Farmgate,Uttara,Completed,Microbus,4.5,Yes,10,3.03,446.4,4.0,3,Card,32,2024-04-29,CUST1564,Repeated
TRIP100062,Banani,Mohammadpur,Cancelled,Car,3.6,No,17,18.64,684.84,4.1,1,Cash,82,2024-04-23,CUST1304,Repeated
TRIP100063,Banani,Banani,Completed,CNG,4.1,Yes,9,18.59,672.61,4.2,1,Cash,37,2024-06-13,CUST1331,Repeated
TRIP100064,Bashundhara,Gulshan,Completed,Car,4.4,No,6,2.36,258.12,4.8,3,Mobile Payment,80,2024-06-15,CUST1354,Repeated
TRIP100065,Mirpur,Motijheel,Completed,Bike,3.1,No,19,16.7,990.57,3.0,1,Card,16,2024-04-11,CUST1370,Repeated
TRIP100066,Banani,Motijheel,Completed,CNG,3.9,No,7,2.22,862.46,4.9,2,Cash,62,2024-02-03,CUST1573,Repeated
TRIP100067,Farmgate,Bashundhara,Completed,Microbus,3.5,No,11,4.16,965.59,3.7,1,Card,88,2024-03-16,CUST1597,New
TRIP100068,Gulshan,Mohammadpur,Completed,Car,3.6,Yes,19,4.71,124.05,3.2,1,Mobile Payment,10,2024-04-25,CUST1017,Repeated
